,stock,date,score,positive_score,negative_score,activity,avg_7_days,avg_14_days,avg_30_days
420,FF,2022-03-13,0,0,0,1,5,7,7
421,FIS,2022-03-13,6,15,0,14,15,11,10
422,FIVE,2022-03-13,-9,0,-9,1,8,8,6
423,FL,2022-03-13,17,21,-15,20,15,4,5
424,FLGC,2022-03-13,1,1,0,1,3,6,9
425,FLIR,2022-03-13,17,17,0,1,7,6,5
426,FLR,2022-03-13,0,0,0,9,11,9,7
427,FMC,2022-03-13,19,19,0,3,12,11,11
428,FNKO,2022-03-13,27,39,-21,189,15,10,6
429,FORD,2022-03-13,19,19,0,2,11,9,9
430,FORM,2022-03-13,0,0,0,1,8,7,6
431,FOUR,2022-03-13,17,17,0,1,8,5,5
432,FOX,2022-03-13,10,10,0,1,12,8,9
433,FOXA,2022-03-13,7,7,0,1,2,4,6
434,FOXF,2022-03-13,13,13,0,1,0,1,3
435,FRAN,2022-03-13,4,4,0,1,2,3,4
436,FREE,2022-03-13,14,20,-19,10,11,5,5
437,FROG,2022-03-13,0,0,0,1,15,8,6
438,FRX,2022-03-13,-4,0,-12,6,-3,0,1
439,FSLY,2022-03-13,-6,0,-18,6,3,5,5
440,FSR,2022-03-13,0,0,0,6,14,15,16
441,FTCH,2022-03-13,-2,14,-18,2,3,3,3
442,FTEK,2022-03-13,14,14,0,1,12,10,8
443,FTFT,2022-03-13,4,18,0,4,7,7,7
444,FTNT,2022-03-13,-15,0,-15,2,5,4,2
445,FTSI,2022-03-13,1,19,-18,8,-11,-8,-3
446,FUBO,2022-03-13,5,17,-10,9,7,7,8
447,FVRR,2022-03-13,-3,12,-21,97,-5,-5,0
448,FXNC,2022-03-13,19,19,0,1,10,9,9
449,GAME,2022-03-13,0,0,0,1,2,5,5
450,GATO,2022-03-13,10,10,0,1,2,-2,-1
451,GB,2022-03-13,-19,0,-19,1,2,7,6
452,GBR,2022-03-13,10,22,-11,41,14,15,11
453,GCI,2022-03-13,20,20,0,1,3,0,1
454,GD,2022-03-13,10,10,0,1,4,0,2
455,GDDY,2022-03-13,-19,0,-19,1,-3,-3,-1
456,GDRX,2022-03-13,19,19,0,1,4,6,2
457,GE,2022-03-13,6,13,-9,3,12,10,10
458,GEN,2022-03-13,-17,0,-17,1,1,3,5
459,GENE,2022-03-13,0,0,0,2,11,6,5
460,GEO,2022-03-13,-1,23,-13,143,-12,-14,-8
461,GERN,2022-03-13,0,0,0,1,7,6,4
462,GEVO,2022-03-13,8,19,0,5,8,7,7
463,GGPI,2022-03-13,16,20,0,6,28,29,27
464,GHSI,2022-03-13,13,20,0,3,13,13,9
465,GILD,2022-03-13,1,20,-13,5,7,7,8
466,GIS,2022-03-13,-8,0,-9,11,3,2,5
467,GLBS,2022-03-13,0,0,0,2,12,9,7
468,GLW,2022-03-13,2,9,-4,3,3,3,6
469,GM,2022-03-13,-5,17,-25,136,9,8,8
470,GMBL,2022-03-13,4,13,0,6,9,7,7
471,GME,2022-03-13,20,37,-22,231,20,15,15
472,GMVD,2022-03-13,-6,0,-12,6,-1,3,3
473,GNC,2022-03-13,-4,12,-12,15,-10,-8,-5
474,GNUS,2022-03-13,8,15,0,9,16,14,14
475,GOCO,2022-03-13,-18,0,-18,1,4,4,2
476,GOEV,2022-03-13,18,18,0,1,6,7,5
477,GOGL,2022-03-13,14,14,0,3,9,7,8
478,GOLD,2022-03-13,11,19,0,7,22,23,19
479,GOOG,2022-03-13,-9,13,-20,69,2,-17,-13
480,GOOGL,2022-03-13,-2,18,-18,14,20,10,14
481,GOVX,2022-03-13,19,19,0,1,7,3,3
482,GPC,2022-03-13,13,13,0,3,7,6,10
483,GPN,2022-03-13,20,20,0,1,12,9,7
484,GPRO,2022-03-13,-10,17,-19,31,5,1,5
485,GPS,2022-03-13,1,17,-15,3,7,8,7
486,GRIL,2022-03-13,0,0,0,3,5,9,6
487,GRMN,2022-03-13,7,14,0,15,2,3,6
